Sensorid	nr	UnixTime	YYYY-mm-ddTHH:MM:SS	TZ	Min	mg/dL
XXTESTSENSOR	13	1783300064	2026-07-06T03:07:44	2	60	202
XXTESTSENSOR	14	1783300364	2026-07-06T03:12:44	2	65	198
XXTESTSENSOR	15	1783300663	2026-07-06T03:17:43	2	70	193
XXTESTSENSOR	16	1783300964	2026-07-06T03:22:44	2	75	190
XXTESTSENSOR	17	1783301265	2026-07-06T03:27:45	2	80	188
XXTESTSENSOR	18	1783301564	2026-07-06T03:32:44	2	85	186
XXTESTSENSOR	19	1783301863	2026-07-06T03:37:43	2	90	187
XXTESTSENSOR	20	1783302165	2026-07-06T03:42:45	2	95	184
XXTESTSENSOR	21	1783302463	2026-07-06T03:47:43	2	100	179
XXTESTSENSOR	22	1783302764	2026-07-06T03:52:44	2	105	180
XXTESTSENSOR	23	1783303064	2026-07-06T03:57:44	2	110	174
XXTESTSENSOR	24	1783303363	2026-07-06T04:02:43	2	115	170
XXTESTSENSOR	25	1783303664	2026-07-06T04:07:44	2	120	168
XXTESTSENSOR	26	1783303964	2026-07-06T04:12:44	2	125	168
XXTESTSENSOR	27	1783304264	2026-07-06T04:17:44	2	130	170
